City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
187,byron bay,40,AU,1520994600,57,-28.65,153.62,80.6,20.8
188,tadine,48,NC,1520996876,89,-21.55,167.88,83.6,17.47
189,rocha,0,UY,1520996877,68,-34.48,-54.34,56.78,6.29
190,lompoc,90,US,1520995080,100,34.64,-120.46,60.8,9.17
191,lao cai,32,VN,1520996877,96,22.48,103.95,61.01,1.48
192,sao benedito do rio preto,88,BR,1520996853,86,-3.33,-43.53,77.84,4.72
193,coquimbo,0,CL,1520996400,82,-29.95,-71.34,59.0,7.18
194,hithadhoo,80,MV,1520996879,100,-0.6,73.08,83.78,7.4
195,lazaro cardenas,40,MX,1520995560,25,28.39,-105.62,66.2,12.75
196,paragominas,48,BR,1520996880,96,-3.0,-47.35,75.23,4.38
197,chapais,75,CA,1520992800,79,49.78,-74.86,24.8,9.17
198,hambantota,56,LK,1520996881,100,6.12,81.12,79.19,7.74
199,sorland,0,NO,1520996882,100,67.67,12.69,31.94,19.37
200,liepaja,92,LV,1520995800,93,56.52,21.02,35.6,8.05
201,mar del plata,32,AR,1520996883,57,-46.43,-67.52,60.56,18.37
202,praia da vitoria,20,PT,1520992800,76,38.73,-27.07,53.6,37.04
203,bagdarin,0,RU,1520996883,32,54.44,113.59,3.41,5.5
204,vanavara,68,RU,1520996884,64,60.35,102.28,2.96,5.39
205,swan hill,0,AU,1520996884,61,-35.34,143.56,72.71,11.21
206,reconquista,0,AR,1520996885,91,-29.14,-59.64,67.76,9.42
207,pozo colorado,8,PY,1520996885,80,-23.49,-58.8,82.43,3.38
208,sampit,92,ID,1520996886,89,-2.54,112.95,82.16,3.83
209,koygorodok,92,RU,1520996886,89,60.44,51.01,27.98,9.42
210,severo-kurilsk,88,RU,1520996887,96,50.68,156.12,32.03,17.58
211,souillac,0,FR,1520994600,86,45.6,-0.6,41.0,10.29
212,kailua,90,US,1520995200,78,21.39,-157.74,75.2,8.05
213,sokoni,32,CD,1520996888,94,-12.89,28.78,61.01,4.16
214,novikovo,36,UA,1520996888,100,45.05,34.56,42.29,4.16
215,kasongo-lunda,76,CD,1520996889,97,-6.48,16.82,68.12,2.59
216,ranong,0,TH,1520992800,62,9.96,98.62,86.0,2.24
217,rafai,0,CF,1520996889,90,4.95,23.92,70.37,2.59
218,codrington,92,AU,1520996890,84,-28.95,153.24,72.08,7.63
219,alice springs,0,AU,1520994600,20,-23.7,133.88,84.2,11.41
220,zaranj,0,AF,1520992800,57,30.95,61.86,51.8,16.11
221,tuktoyaktuk,20,CA,1520992800,84,69.44,-133.03,19.4,3.36
222,mubi,20,NG,1520996892,42,10.27,13.26,65.69,3.6
223,tazovskiy,76,RU,1520996892,82,67.47,78.7,9.89,13.22
224,fatehgarh churian,40,IN,1520994600,88,31.86,74.96,64.4,5.82
225,igrim,88,RU,1520996893,82,63.19,64.42,17.81,7.4
226,ucluelet,92,CA,1520996894,100,48.94,-125.55,40.76,1.92
227,litovko,44,RU,1520996894,71,49.24,135.18,28.34,4.61
228,saint anthony,1,US,1520992560,72,43.97,-111.68,50.0,6.93
229,aswan,0,EG,1520992800,24,24.09,32.9,66.2,6.93
230,fare,56,PF,1520996895,100,-16.7,-151.02,82.52,10.54
231,waverley,75,AU,1520994600,65,-33.9,151.26,78.8,8.05
232,lamar,1,US,1520992380,56,38.09,-102.62,42.8,9.17
233,dunedin,0,NZ,1520996677,50,-45.87,170.5,68.57,3.38
234,coihueco,0,CL,1520996678,86,-36.63,-71.83,46.97,5.17
235,eureka,90,US,1520994900,100,40.8,-124.16,50.0,4.7
236,beira,92,ES,1520994600,93,43.2,-8.36,53.6,12.75
237,fort nelson,40,CA,1520992800,36,58.81,-122.69,48.2,3.36
238,isangel,64,VU,1520996900,94,-19.55,169.27,84.23,14.23
239,simao,0,CN,1520996900,47,22.76,100.79,70.91,3.27
240,merauke,68,ID,1520996901,100,-8.49,140.4,79.82,4.94
241,katherine,0,AU,1520995740,38,-14.47,132.26,91.4,18.34
242,tandil,0,AR,1520996902,72,-37.33,-59.14,46.61,2.71
243,mokhsogollokh,64,RU,1520996903,58,61.4,128.95,-1.81,7.96
244,ahipara,0,NZ,1520996903,72,-35.17,173.16,71.09,10.65
245,celina,75,US,1520994900,79,40.55,-84.57,26.6,13.87
246,bathsheba,40,BB,1520996400,78,13.22,-59.52,78.8,19.46
247,touros,92,BR,1520996827,88,-5.2,-35.46,80.72,8.63
248,sao joao da barra,0,BR,1520996799,99,-21.64,-41.05,80.09,4.94
249,shiloh,1,US,1520994900,51,38.56,-89.9,39.2,8.05
250,yar-sale,56,RU,1520996907,90,66.83,70.83,3.68,8.19
251,egvekinot,56,RU,1520996907,62,66.32,-179.17,-14.32,3.15
252,san cristobal,20,EC,1520996400,87,-0.39,-78.55,51.8,5.82
253,kavieng,68,PG,1520996909,100,-2.57,150.8,83.78,9.86
254,castro,92,CL,1520996910,99,-42.48,-73.76,53.81,12.77
255,sanming,64,CN,1520996910,71,26.24,117.6,64.79,2.48
256,zhigalovo,12,RU,1520996910,58,54.81,105.15,7.19,3.15
257,mao,40,DO,1520996400,88,19.55,-71.08,75.2,11.41
258,ghanzi,0,BW,1520996911,82,-21.7,21.65,62.27,6.4
259,tual,36,ID,1520996912,100,-5.67,132.75,81.53,12.88
260,batagay-alyta,8,RU,1520996913,65,67.8,130.41,-16.12,3.6
261,dawlatabad,64,AF,1520996913,98,36.41,64.91,42.83,3.94
262,omboue,92,GA,1520996913,100,-1.57,9.26,81.26,6.06
263,bilma,0,NE,1520996914,34,18.69,12.92,56.96,2.71
264,adrar,0,DZ,1520992800,16,27.87,-0.29,66.2,10.29
265,meulaboh,8,ID,1520996915,100,4.14,96.13,83.87,3.94
266,dingle,36,PH,1520996915,80,11.0,122.67,82.16,13.0
267,nisia floresta,40,BR,1520996400,78,-6.09,-35.21,82.4,8.05
268,irtyshskiy,36,RU,1520996916,80,58.33,68.13,4.31,8.75
269,santa cruz,40,US,1520994900,87,36.97,-122.03,57.2,3.36
270,scituate,90,US,1520995680,92,41.79,-71.61,33.8,6.17
271,honningsvag,76,NO,1520996920,100,70.98,25.97,24.47,10.09
272,abbeville,90,FR,1520994600,100,50.11,1.83,39.2,5.82
273,merritt island,1,US,1520992560,100,28.54,-80.67,57.2,4.16
274,panjab,44,AF,1520996921,96,34.38,67.02,27.53,2.04
275,katobu,48,ID,1520996922,89,-4.94,122.53,84.5,7.96
276,aklavik,40,CA,1520992800,67,68.22,-135.01,19.4,4.7
277,salinopolis,80,BR,1520996861,100,-0.61,-47.36,77.66,9.98
278,san vicente,20,SV,1520995800,88,13.64,-88.78,82.4,3.36
279,shenjiamen,80,CN,1520996925,88,29.96,122.3,58.76,19.15
280,kirov,92,RU,1520996925,86,58.6,49.66,23.39,18.92
281,luanda,75,AO,1520992800,74,-8.83,13.24,80.6,5.82
282,itoman,40,JP,1520994600,53,26.12,127.67,75.2,13.87
283,paka,0,HR,1520994600,93,45.29,18.06,42.8,9.17
284,kahului,90,US,1520994960,88,20.89,-156.47,73.4,12.75
285,asyut,0,EG,1520992800,82,27.18,31.19,55.4,13.87
286,norman wells,75,CA,1520992800,55,65.28,-126.83,33.8,3.36
287,otane,0,NZ,1520996928,64,-39.89,176.62,64.43,6.62
288,nizhnyaya omka,32,RU,1520996928,51,55.43,74.94,-9.46,3.49
289,atasu,44,KZ,1520996929,88,48.68,71.64,16.46,9.98
290,garowe,48,SO,1520996929,95,8.41,48.48,67.22,5.95
291,svetlopolyansk,92,RU,1520996930,87,59.42,52.36,23.21,17.69
292,nortelandia,32,BR,1520996930,86,-14.45,-56.8,76.04,5.5
293,rockhampton,0,AU,1520994600,37,-23.38,150.51,86.0,14.99
